accession
190002_533_D11
100145_40_B04
190078_573_C02
140087_401_G04
100043_19_B04
240033_791_F07
190001_533_C12
180052_518_D02
100003_2_H02
160020_449_C07
170008_459_D06
210043_643_A08
170011_462_E01
230002_730_E06
230019_735_G02
210071_662_B02
240088_826_A07
230022_736_G04
110063_164_G8
230066_757_D01
200059_616_A01
170023_471_F06
210006_627_E11
210022_635_A07
100065_23_G07
210048_646_H06
230006_733_A09
180038_509_G07
240058_802_D06
180021_496_F03
220069_705_F04
230044_747_H10
100055_22_C04
190076_572_D05
100113_34_E02
100051_20_E01
210078_666_A09
180045_514_D06
100154_40_H04
160017_448_G09
240010_783_E01
180019_495_C02
230052_752_G08
101170_143_E3
240069_810_C02
140044_374_A5
110498_219_B10
100798_109_D5
110454_213_B5
101192_144_G3
100155_40_H09
140092_405_H02
100027_13_G02
180047_516_B07
230033_742_E06
140077_397_A01
180008_487_A06
190003_533_F9
101152_141_E5
210037_640_F02
100809_110_B1
200016_590_H08
220032_684_H04
190050_559_B8
220060_701_A05
240044_795_H08
210045_644_B12
180049_518_A08
101168_143_C6
190074_571_C01
100799_109_E11
200070_621_F02
100114_34_E06
140047_376_B4
100052_21_A08
100061_23_F05
220003_671_F02
220070_706_B04
210023_635_C11
200069_621_D01
100111_34_B05
190008_537_B3
240091_827_H05
200023_594_H08
240077_817_F03
100115_34_E08
220011_674_A05
140085_401_D04
100812_110_C6
190020_544_C2
200032_599_H05
210025_636_D05
180023_497_F02
100044_19_B07
210050_649_D06
190079_573_E03
100017_8_D01
170021_469_E06
210016_632_A07
180018_495_A12
101146_140_H3
240002_780_G07
100845_112_G6
240060_803_D02
230031_742_B12
240005_781_G06
200000_581_C03
100058_22_G07
100132_37_H08
100137_38_C01
101165_142_H8
230061_755_D09
100029_14_F05
230015_734_A06
220018_676_E11
180051_518_C04
190088_579_G02
230060_754_C09
200052_612_E04
200050_611_H04
200042_606_F06
190016_541_E4
101132_139_C2
210066_658_F02
140083_400_H01
101174_143_H2
200002_582_B11
140011_344_F6
210058_652_A07
210084_669_E01
100097_30_F09
160019_449_D03
100796_109_B5
110035_162_C1
100152_40_F06
230042_746_H04
101189_144_F3
140048_376_A12
190046_558_B3
230037_743_F12
220081_710_H02
220027_681_D06
140019_349_D3
210041_642_C12
210005_626_G03
190083_576_A02
180030_504_C01
170003_455_D02
200001_581_E06
100045_19_B08
240065_807_B11
101150_141_C5
220047_694_G01
220068_705_B02
200047_609_D03
240029_790_D10
101186_144_E9
101142_140_E4
220010_673_E09
200014_588_G03
100112_34_C07
